56.266,37.964
56.266,37.964
56.067,38.04
56.1,37.986
56.1,37.905
56.199,37.902
56.157,37.92
56.097,37.915
55.945,37.904
55.975,37.907
56.247,37.918
55.976,37.896
55.946,37.904
55.728,37.906
55.492,37.83
55.584,37.753
55.993,37.658
55.968,37.66
55.998,37.63
55.818,37.644
55.754,37.693
55.747,37.684
55.719,37.65
55.867,37.681
55.75,37.684
55.721,37.649
55.066,37.588
55.789,37.579
55.865,37.585
55.697,37.549
55.613,37.583
55.663,37.564
55.791,37.58
55.798,37.396
55.787,37.393
55.76,37.397
55.71,37.384
55.781,37.391
55.548,37.39
55.787,37.393
55.79,37.396
55.501,37.379
55.676,37.37
55.057,37.268
54.23,37.232
54.23,37.232
54.23,37.232
54.23,37.232
54.23,37.232
55.172,37.268
55.172,37.268
55.172,37.268
55.172,37.268
55.172,37.268
55.355,37.252
55.788,37.306
55.656,37.363
55.62,37.359
55.557,37.358
55.543,37.35
55.544,37.351
55.316,37.259
55.432,37.26
55.438,37.26
55.342,37.281
55.412,37.254
55.409,37.255
55.457,37.254
55.418,37.248
55.418,37.248
55.415,37.253
54.183,37.198
54.25,37.205
55.186,37.21
55.186,37.215
55.186,37.215
55.186,37.215
54.933,37.186
55.014,37.15
54.946,37.223
54.97,37.147
54.97,37.147
54.97,37.147
54.97,37.147
55.229,37.216
55.298,37.224
55.182,37.223
55.425,37.2
55.44,37.186
55.427,37.2
55.398,37.226
55.395,37.232
55.386,37.23
55.377,37.226
55.37,37.22
55.338,37.215
55.371,37.218
55.371,37.218
55.423,37.246
55.42,37.245
54.739,37.208
55.166,37.241
55.201,37.132
54.914,37.112
54.913,37.113
55.115,37.073
55.147,37.019
55.138,37.063
55.196,37.064
55.179,37.084
55.259,37.079
54.52,37.014
54.579,37.078
54.524,37.016
54.46,37.012
54.891,37.08
54.23,37.012
54.165,37.009
54.093,37.027
54.085,37.076
54.075,37.081
54.069,37.069
54.08,37.081
54.457,37.014
55.173,37.084
55.273,37.054
55.028,37.011
54.096,36.996
55.141,37.017
55.111,36.956
55.149,37.001
55.066,36.997
54.968,36.977
55.47,36.913
54.492,36.99
54.442,36.959
54.385,36.931
54.815,36.906
54.852,36.911
54.84,36.956
54.74,36.897
54.61,36.904
54.638,36.917
54.566,36.938
54.477,36.907
54.446,36.893
54.438,36.931
54.371,36.889
54.067,36.994
54.059,36.988
55.128,36.928
54.435,36.951
54.485,36.886
54.457,36.889
54.372,36.888
54.961,36.883
54.805,36.889
54.887,36.876
54.773,36.867
54.779,36.857
54.108,36.79
54.209,36.848
54.221,36.774
54.19,36.836
54.157,36.81
54.204,36.84
54.054,36.826
54.143,36.857
54.65,36.858
54.636,36.871
54.633,36.872
54.622,36.79
54.569,36.798
54.513,36.844
54.546,36.812
54.502,36.857
54.471,36.807
54.481,36.869
54.456,36.812
54.448,36.861
54.447,36.865
54.466,36.797
54.427,36.825
54.402,36.851
54.397,36.856
54.369,36.843
54.378,36.878
54.331,36.791
54.294,36.799
54.289,36.801
54.326,36.792
54.293,36.8
54.11,36.793
55.019,36.8
54.025,36.792
54.878,36.675
54.81,36.733
54.478,36.706
54.475,36.765
54.48,36.76
54.803,36.714
54.022,36.751
53.97,36.741
54.065,36.736
53.996,36.753
53.914,36.75
53.909,36.736
